sentence,aspect_term,sentiment,source_file
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,drivers,neutral,Laptop_Train_v2.csv
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,Drivers,positive,Laptop_Train_v2.csv
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,BIOS update,negative,Laptop_Train_v2.csv
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,system,negative,Laptop_Train_v2.csv
Spent 2 hours on phone with HP Technical Support.,HP Technical Support,neutral,Laptop_Train_v2.csv
"Speaking of the browser, it too has problems.",browser,negative,Laptop_Train_v2.csv
The keyboard is too slick.,keyboard,negative,Laptop_Train_v2.csv
Nightly my computer defrags itself and runs a virus scan.,virus scan,neutral,Laptop_Train_v2.csv
"It's like 9 punds, but if you can look past it, it's GREAT!",9 punds,negative,Laptop_Train_v2.csv
It's just as fast with one program open as it is with sixteen open.,program,neutral,Laptop_Train_v2.csv
"Still under warrenty so called Toshiba, no help at all.",warrenty,negative,Laptop_Train_v2.csv
I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,Toshiba Warranty,negative,Laptop_Train_v2.csv
Amazing Quality!,Quality,positive,Laptop_Train_v2.csv
The fact that you can spend over $100 on just a webcam underscores the value of this machine.,webcam,neutral,Laptop_Train_v2.csv
The fact that you can spend over $100 on just a webcam underscores the value of this machine.,value,positive,Laptop_Train_v2.csv
"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet,neutral,Laptop_Train_v2.csv
"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",managing personal files,neutral,Laptop_Train_v2.csv
"A month or so ago, the freaking motherboard just died.",motherboard,negative,Laptop_Train_v2.csv
"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,negative,Laptop_Train_v2.csv
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,charger,negative,Laptop_Train_v2.csv
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,hardware,negative,Laptop_Train_v2.csv
"If a website ever freezes (which is rare), its really easy to force quit.",force quit,positive,Laptop_Train_v2.csv
It rarely works and when it does it's incredibly slow.,works,negative,Laptop_Train_v2.csv
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,Windows 7,positive,Laptop_Train_v2.csv
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,VMWare program,neutral,Laptop_Train_v2.csv
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",operating system,positive,Laptop_Train_v2.csv
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",runs,positive,Laptop_Train_v2.csv
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",navigate,positive,Laptop_Train_v2.csv
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",find files,positive,Laptop_Train_v2.csv
Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,warrenty,negative,Laptop_Train_v2.csv
"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",extended warranty,neutral,Laptop_Train_v2.csv
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,memory,neutral,Laptop_Train_v2.csv
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,speed,positive,Laptop_Train_v2.csv
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,performace,positive,Laptop_Train_v2.csv
"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",opening my Documents folder,negative,Laptop_Train_v2.csv
I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,operating systems,negative,Laptop_Train_v2.csv
"Then, within 5 months, the charger crapped out on me.",charger,negative,Laptop_Train_v2.csv
And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,speed,positive,Laptop_Train_v2.csv
I love the glass touchpad.,glass touchpad,positive,Laptop_Train_v2.csv
  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,hard drive,negative,Laptop_Train_v2.csv
  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,mother board,negative,Laptop_Train_v2.csv
I am using the external speaker- sound is good.,external speaker,positive,Laptop_Train_v2.csv
I am using the external speaker- sound is good.,sound,positive,Laptop_Train_v2.csv
"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",battery life,negative,Laptop_Train_v2.csv
"Then HP sends it back to me with the hardware screwed up, not able to connect.",hardware,negative,Laptop_Train_v2.csv
"Oh yeah, don't forget the expensive shipping to and from HP.",shipping,negative,Laptop_Train_v2.csv
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Mac software,positive,Laptop_Train_v2.csv
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Microsoft software,negative,Laptop_Train_v2.csv
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",use,positive,Laptop_Train_v2.csv
"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",delete  key,negative,Laptop_Train_v2.csv
"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",editing,negative,Laptop_Train_v2.csv
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use,positive,Laptop_Train_v2.csv
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,service,positive,Laptop_Train_v2.csv
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,phone assistance,positive,Laptop_Train_v2.csv
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,genius bar,positive,Laptop_Train_v2.csv
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,positive,Laptop_Train_v2.csv
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,positive,Laptop_Train_v2.csv
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",gaming,neutral,Laptop_Train_v2.csv
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",movie playing,neutral,Laptop_Train_v2.csv
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",web browsing,neutral,Laptop_Train_v2.csv
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",word editing,neutral,Laptop_Train_v2.csv
"Acer has set me up with FREE recovery discs, when they are available since I asked.",recovery discs,positive,Laptop_Train_v2.csv
"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","Office Max's ""Max Assurance""",neutral,Laptop_Train_v2.csv
I eventually did the migration from my iMac backup disc which uses USB.,iMac backup disc,neutral,Laptop_Train_v2.csv
I eventually did the migration from my iMac backup disc which uses USB.,USB,neutral,Laptop_Train_v2.csv
"The battery life seems to be very good, and have had no issues with it.",battery life,positive,Laptop_Train_v2.csv
Enabling the battery timer is useless.,battery timer,negative,Laptop_Train_v2.csv
Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Temperatures,neutral,Laptop_Train_v2.csv
Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Core Processing Unit temperatures,neutral,Laptop_Train_v2.csv
Going to bring it to service today.,service,neutral,Laptop_Train_v2.csv
"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",virus protection for Mac,positive,Laptop_Train_v2.csv
"But we had paid for bluetooth, and there was none.",bluetooth,negative,Laptop_Train_v2.csv
"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",LG notebook service center,neutral,Laptop_Train_v2.csv
"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",hinge,negative,Laptop_Train_v2.csv
"My daughter uses it for games, email, facebook, pictures and music.",games,neutral,Laptop_Train_v2.csv
"It is always reliable, never bugged and responds well.",responds,positive,Laptop_Train_v2.csv
After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,negative,Laptop_Train_v2.csv
After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,neutral,Laptop_Train_v2.csv
"It was slow, locked up, and also had hardware replaced after only 2 months!",hardware,negative,Laptop_Train_v2.csv
they had to replace the motherboard in April,motherboard,negative,Laptop_Train_v2.csv
"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",use,positive,Laptop_Train_v2.csv
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",representive at Microsoft,negative,Laptop_Train_v2.csv
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",system,negative,Laptop_Train_v2.csv
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",XP,positive,Laptop_Train_v2.csv
I love WIndows 7 which is a vast improvment over Vista.,WIndows 7,positive,Laptop_Train_v2.csv
I love WIndows 7 which is a vast improvment over Vista.,Vista,negative,Laptop_Train_v2.csv
"Keyboard is great, very quiet for all the typing that I do.",Keyboard,positive,Laptop_Train_v2.csv
Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,Dell's customer disservice,negative,Laptop_Train_v2.csv
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",cooling system,negative,Laptop_Train_v2.csv
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",use,neutral,Laptop_Train_v2.csv
"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.",quad core I7,positive,Laptop_Train_v2.csv
"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.",sales associate,positive,Laptop_Train_v2.csv
"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",system,positive,Laptop_Train_v2.csv
"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",Windows applications,neutral,Laptop_Train_v2.csv
You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,virus program,negative,Laptop_Train_v2.csv
It weighed like seven pounds or something like that.,weighed,neutral,Laptop_Train_v2.csv
It weighed like seven pounds or something like that.,seven pounds,neutral,Laptop_Train_v2.csv
"2 months later, the battery went.",battery,negative,Laptop_Train_v2.csv
You may need to special order a bag.,bag,neutral,Laptop_Train_v2.csv
It's color is even cool.,color,positive,Laptop_Train_v2.csv
keys are all in weird places and is way too large for the way it is designed.,keys,negative,Laptop_Train_v2.csv
keys are all in weird places and is way too large for the way it is designed.,designed,negative,Laptop_Train_v2.csv
"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",style,positive,Laptop_Train_v2.csv
"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",speed,positive,Laptop_Train_v2.csv
The keyboard feels good and I type just fine on it.,keyboard,positive,Laptop_Train_v2.csv
I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,mousepad,neutral,Laptop_Train_v2.csv
"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.",battery,negative,Laptop_Train_v2.csv
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",sales,positive,Laptop_Train_v2.csv
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",service,positive,Laptop_Train_v2.csv
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",DELL SUPPORT,positive,Laptop_Train_v2.csv
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",hard drive,neutral,Laptop_Train_v2.csv
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",motherboard,neutral,Laptop_Train_v2.csv
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",speed,positive,Laptop_Train_v2.csv
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",construction quality,positive,Laptop_Train_v2.csv
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",longevity,positive,Laptop_Train_v2.csv
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",cost,conflict,Laptop_Train_v2.csv
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keyboard,positive,Laptop_Train_v2.csv
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keys,positive,Laptop_Train_v2.csv
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","configuration of ""extra key""",positive,Laptop_Train_v2.csv
) I also tried the touch pad and compared it to other netbooks in the store.,touch pad,neutral,Laptop_Train_v2.csv
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",use,positive,Laptop_Train_v2.csv
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",security,positive,Laptop_Train_v2.csv
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",pricetag,conflict,Laptop_Train_v2.csv
"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",use,negative,Laptop_Train_v2.csv
"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",work,negative,Laptop_Train_v2.csv
lots of preloaded software.,preloaded software,positive,Laptop_Train_v2.csv
"I wish it had a webcam though, then it would be perfect!",webcam,negative,Laptop_Train_v2.csv
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,vga port,positive,Laptop_Train_v2.csv
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,screen,neutral,Laptop_Train_v2.csv
Another thing I might add is the battery life is excellent.,battery life,positive,Laptop_Train_v2.csv
"One drawback, I wish the keys were backlit.",keys,negative,Laptop_Train_v2.csv
"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.",software,positive,Laptop_Train_v2.csv
I wish the volume could be louder and the mouse didnt break after only a month.,volume,negative,Laptop_Train_v2.csv
I wish the volume could be louder and the mouse didnt break after only a month.,mouse,negative,Laptop_Train_v2.csv
"I play a lot of casual games online, and the touchpad is very responsive.",touchpad,positive,Laptop_Train_v2.csv
"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",boots up,positive,Laptop_Train_v2.csv
It caught a virus that completely wiped out my hard drive in a matter of hours.,hard drive,negative,Laptop_Train_v2.csv
"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",look and feel standpoint,positive,Laptop_Train_v2.csv
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,negative,Laptop_Train_v2.csv
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,negative,Laptop_Train_v2.csv
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,Mozzilla firfox,positive,Laptop_Train_v2.csv
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",Bluetooth,negative,Laptop_Train_v2.csv
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",fingerprint reader driver,negative,Laptop_Train_v2.csv
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",software,negative,Laptop_Train_v2.csv
"Great battery, speed, display.",battery,positive,Laptop_Train_v2.csv
"Great battery, speed, display.",speed,positive,Laptop_Train_v2.csv
"Great battery, speed, display.",display,positive,Laptop_Train_v2.csv
"The delivery was fast, and I would not hesitate to purchase this laptop again.",delivery,positive,Laptop_Train_v2.csv
I've been impressed with the battery life and the performance for such a small amount of memory.,battery life,positive,Laptop_Train_v2.csv
I've been impressed with the battery life and the performance for such a small amount of memory.,performance,positive,Laptop_Train_v2.csv
I've been impressed with the battery life and the performance for such a small amount of memory.,memory,negative,Laptop_Train_v2.csv
"It's applications are terrific, including the replacements for Microsoft office.",applications,positive,Laptop_Train_v2.csv
"It's applications are terrific, including the replacements for Microsoft office.",Microsoft office,positive,Laptop_Train_v2.csv
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",Resolution,negative,Laptop_Train_v2.csv
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",appearance,negative,Laptop_Train_v2.csv
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",cooling system,negative,Laptop_Train_v2.csv
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",graphics card,negative,Laptop_Train_v2.csv
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in webcam,negative,Laptop_Train_v2.csv
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in mic,negative,Laptop_Train_v2.csv
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",cam,negative,Laptop_Train_v2.csv
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",mic,negative,Laptop_Train_v2.csv
Is this partially due to the fact that it is running Windows Vista?,Windows Vista,neutral,Laptop_Train_v2.csv
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,board,negative,Laptop_Train_v2.csv
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,connector,negative,Laptop_Train_v2.csv
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,negative,Laptop_Train_v2.csv
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,warrenty,negative,Laptop_Train_v2.csv
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,negative,Laptop_Train_v2.csv
"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",ethernet,positive,Laptop_Train_v2.csv
"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",works,positive,Laptop_Train_v2.csv
Mostly I love the drag and drop feature.,drag and drop feature,positive,Laptop_Train_v2.csv
"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?",webcam,negative,Laptop_Train_v2.csv
"I ordered through MacMall, which saved me the sales tax I would have incurred buying locally.",sales tax,positive,Laptop_Train_v2.csv
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",software packages,positive,Laptop_Train_v2.csv
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",iWork,positive,Laptop_Train_v2.csv
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",GarageBand,positive,Laptop_Train_v2.csv
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",iMovie,positive,Laptop_Train_v2.csv
The screen is very large and crystal clear with amazing colors and resolution.,screen,positive,Laptop_Train_v2.csv
The screen is very large and crystal clear with amazing colors and resolution.,colors,positive,Laptop_Train_v2.csv
The screen is very large and crystal clear with amazing colors and resolution.,resolution,positive,Laptop_Train_v2.csv
"After a little more than a year of owning my MacBook Pro, the monitor has completely died.",monitor,negative,Laptop_Train_v2.csv
"The brand of iTunes has just become ingrained in our lexicon now, but keep in mind that Apple started it all.",iTunes,positive,Laptop_Train_v2.csv
"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",Size,negative,Laptop_Train_v2.csv
"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",external monitor,neutral,Laptop_Train_v2.csv
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,base installation,negative,Laptop_Train_v2.csv
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,software,negative,Laptop_Train_v2.csv
