sentence,aspect_term,sentiment,source_file
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",find files,positive,data/semeval_2014_absa.csv
Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,warrenty,negative,data/semeval_2014_absa.csv
"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",extended warranty,neutral,data/semeval_2014_absa.csv
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,memory,neutral,data/semeval_2014_absa.csv
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,speed,positive,data/semeval_2014_absa.csv
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,performace,positive,data/semeval_2014_absa.csv
"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",opening my Documents folder,negative,data/semeval_2014_absa.csv
I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,operating systems,negative,data/semeval_2014_absa.csv
"Then, within 5 months, the charger crapped out on me.",charger,negative,data/semeval_2014_absa.csv
And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,speed,positive,data/semeval_2014_absa.csv
I love the glass touchpad.,glass touchpad,positive,data/semeval_2014_absa.csv
  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,hard drive,negative,data/semeval_2014_absa.csv
  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,mother board,negative,data/semeval_2014_absa.csv
I am using the external speaker- sound is good.,external speaker,positive,data/semeval_2014_absa.csv
I am using the external speaker- sound is good.,sound,positive,data/semeval_2014_absa.csv
"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",battery life,negative,data/semeval_2014_absa.csv
"Then HP sends it back to me with the hardware screwed up, not able to connect.",hardware,negative,data/semeval_2014_absa.csv
"Oh yeah, don't forget the expensive shipping to and from HP.",shipping,negative,data/semeval_2014_absa.csv
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Mac software,positive,data/semeval_2014_absa.csv
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Microsoft software,negative,data/semeval_2014_absa.csv
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",use,positive,data/semeval_2014_absa.csv
"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",delete  key,negative,data/semeval_2014_absa.csv
"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",editing,negative,data/semeval_2014_absa.csv
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use,positive,data/semeval_2014_absa.csv
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,service,positive,data/semeval_2014_absa.csv
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,phone assistance,positive,data/semeval_2014_absa.csv
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,genius bar,positive,data/semeval_2014_absa.csv
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,positive,data/semeval_2014_absa.csv
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",gaming,neutral,data/semeval_2014_absa.csv
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",movie playing,neutral,data/semeval_2014_absa.csv
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",web browsing,neutral,data/semeval_2014_absa.csv
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",word editing,neutral,data/semeval_2014_absa.csv
"Acer has set me up with FREE recovery discs, when they are available since I asked.",recovery discs,positive,data/semeval_2014_absa.csv
"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","Office Max's ""Max Assurance""",neutral,data/semeval_2014_absa.csv
I eventually did the migration from my iMac backup disc which uses USB.,iMac backup disc,neutral,data/semeval_2014_absa.csv
I eventually did the migration from my iMac backup disc which uses USB.,USB,neutral,data/semeval_2014_absa.csv
"The battery life seems to be very good, and have had no issues with it.",battery life,positive,data/semeval_2014_absa.csv
Enabling the battery timer is useless.,battery timer,negative,data/semeval_2014_absa.csv
Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Temperatures,neutral,data/semeval_2014_absa.csv
Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Core Processing Unit temperatures,neutral,data/semeval_2014_absa.csv
Going to bring it to service today.,service,neutral,data/semeval_2014_absa.csv
"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",virus protection for Mac,positive,data/semeval_2014_absa.csv
"But we had paid for bluetooth, and there was none.",bluetooth,negative,data/semeval_2014_absa.csv
"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",LG notebook service center,neutral,data/semeval_2014_absa.csv
"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",hinge,negative,data/semeval_2014_absa.csv
"My daughter uses it for games, email, facebook, pictures and music.",games,neutral,data/semeval_2014_absa.csv
"It is always reliable, never bugged and responds well.",responds,positive,data/semeval_2014_absa.csv
After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,negative,data/semeval_2014_absa.csv
After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,neutral,data/semeval_2014_absa.csv
"It was slow, locked up, and also had hardware replaced after only 2 months!",hardware,negative,data/semeval_2014_absa.csv
they had to replace the motherboard in April,motherboard,negative,data/semeval_2014_absa.csv
"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",use,positive,data/semeval_2014_absa.csv
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",representive at Microsoft,negative,data/semeval_2014_absa.csv
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",system,negative,data/semeval_2014_absa.csv
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",XP,positive,data/semeval_2014_absa.csv
I love WIndows 7 which is a vast improvment over Vista.,WIndows 7,positive,data/semeval_2014_absa.csv
I love WIndows 7 which is a vast improvment over Vista.,Vista,negative,data/semeval_2014_absa.csv
"Keyboard is great, very quiet for all the typing that I do.",Keyboard,positive,data/semeval_2014_absa.csv
Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,Dell's customer disservice,negative,data/semeval_2014_absa.csv
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",cooling system,negative,data/semeval_2014_absa.csv
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",use,neutral,data/semeval_2014_absa.csv
"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.",quad core I7,positive,data/semeval_2014_absa.csv
"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.",sales associate,positive,data/semeval_2014_absa.csv
"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",system,positive,data/semeval_2014_absa.csv
"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",Windows applications,neutral,data/semeval_2014_absa.csv
You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,virus program,negative,data/semeval_2014_absa.csv
It weighed like seven pounds or something like that.,weighed,neutral,data/semeval_2014_absa.csv
It weighed like seven pounds or something like that.,seven pounds,neutral,data/semeval_2014_absa.csv
"2 months later, the battery went.",battery,negative,data/semeval_2014_absa.csv
You may need to special order a bag.,bag,neutral,data/semeval_2014_absa.csv
It's color is even cool.,color,positive,data/semeval_2014_absa.csv
keys are all in weird places and is way too large for the way it is designed.,keys,negative,data/semeval_2014_absa.csv
keys are all in weird places and is way too large for the way it is designed.,designed,negative,data/semeval_2014_absa.csv
"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",style,positive,data/semeval_2014_absa.csv
"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",speed,positive,data/semeval_2014_absa.csv
The keyboard feels good and I type just fine on it.,keyboard,positive,data/semeval_2014_absa.csv
I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,mousepad,neutral,data/semeval_2014_absa.csv
"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.",battery,negative,data/semeval_2014_absa.csv
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",sales,positive,data/semeval_2014_absa.csv
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",service,positive,data/semeval_2014_absa.csv
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",DELL SUPPORT,positive,data/semeval_2014_absa.csv
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",hard drive,neutral,data/semeval_2014_absa.csv
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",motherboard,neutral,data/semeval_2014_absa.csv
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",speed,positive,data/semeval_2014_absa.csv
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",construction quality,positive,data/semeval_2014_absa.csv
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",longevity,positive,data/semeval_2014_absa.csv
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",cost,conflict,data/semeval_2014_absa.csv
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keyboard,positive,data/semeval_2014_absa.csv
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keys,positive,data/semeval_2014_absa.csv
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","configuration of ""extra key""",positive,data/semeval_2014_absa.csv
) I also tried the touch pad and compared it to other netbooks in the store.,touch pad,neutral,data/semeval_2014_absa.csv
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",use,positive,data/semeval_2014_absa.csv
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",security,positive,data/semeval_2014_absa.csv
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",pricetag,conflict,data/semeval_2014_absa.csv
"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",use,negative,data/semeval_2014_absa.csv
"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",work,negative,data/semeval_2014_absa.csv
lots of preloaded software.,preloaded software,positive,data/semeval_2014_absa.csv
"I wish it had a webcam though, then it would be perfect!",webcam,negative,data/semeval_2014_absa.csv
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,vga port,positive,data/semeval_2014_absa.csv
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,screen,neutral,data/semeval_2014_absa.csv
Another thing I might add is the battery life is excellent.,battery life,positive,data/semeval_2014_absa.csv
"One drawback, I wish the keys were backlit.",keys,negative,data/semeval_2014_absa.csv
"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.",software,positive,data/semeval_2014_absa.csv
I wish the volume could be louder and the mouse didnt break after only a month.,volume,negative,data/semeval_2014_absa.csv
I wish the volume could be louder and the mouse didnt break after only a month.,mouse,negative,data/semeval_2014_absa.csv
"I play a lot of casual games online, and the touchpad is very responsive.",touchpad,positive,data/semeval_2014_absa.csv
"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",boots up,positive,data/semeval_2014_absa.csv
It caught a virus that completely wiped out my hard drive in a matter of hours.,hard drive,negative,data/semeval_2014_absa.csv
"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",look and feel standpoint,positive,data/semeval_2014_absa.csv
